Reviewed?,Sign-off,String Key,Current Reference (English),Used Reference (English),String Value,Comments
TRUE,"Niklink, Cello",meta.languageCode,en,en,es,
TRUE,"Niklink, Cello",meta.languageName,English,English,Español,
TRUE,Cello,count.additionalFiles,{FILES},{FILES},{FILES},
TRUE,,count.additionalFiles.withUnit.zero,,,,
FALSE,Cello,count.additionalFiles.withUnit.one,{FILES} additional file,{FILES} additional file,{FILES} archivo adicional,
TRUE,,count.additionalFiles.withUnit.two,,,,
TRUE,,count.additionalFiles.withUnit.few,,,,
TRUE,,count.additionalFiles.withUnit.many,,,,
FALSE,Cello,count.additionalFiles.withUnit.other,{FILES} additional files,{FILES} additional files,{FILES} archivos adicionales,
TRUE,"Niklink, Cello",count.albums,{ALBUMS},{ALBUMS},{ALBUMS},
TRUE,"Niklink, Cello",count.albums.withUnit.zero,,,,
TRUE,"Niklink, Cello",count.albums.withUnit.one,{ALBUMS} album,{ALBUMS} album,{ALBUMS} álbum,
TRUE,"Niklink, Cello",count.albums.withUnit.two,,,,
TRUE,"Niklink, Cello",count.albums.withUnit.few,,,,
TRUE,"Niklink, Cello",count.albums.withUnit.many,,,,
TRUE,"Niklink, Cello",count.albums.withUnit.other,{ALBUMS} albums,{ALBUMS} albums,{ALBUMS} álbumes,
FALSE,Cello,count.artworks,{ARTWORKS},{ARTWORKS},{ARTWORKS},
TRUE,,count.artworks.withUnit.zero,,,,
FALSE,Cello,count.artworks.withUnit.one,{ARTWORKS} artwork,{ARTWORKS} artwork,{ARTWORKS} ilustración,
TRUE,,count.artworks.withUnit.two,,,,
TRUE,,count.artworks.withUnit.few,,,,
TRUE,,count.artworks.withUnit.many,,,,
FALSE,Cello,count.artworks.withUnit.other,{ARTWORKS} artworks,{ARTWORKS} artworks,{ARTWORKS} ilustraciónes,
TRUE,"Niklink, Cello",count.commentaryEntries,{ENTRIES},{ENTRIES},{ENTRIES},
TRUE,"Niklink, Cello",count.commentaryEntries.withUnit.zero,,,,
TRUE,"Niklink, Cello",count.commentaryEntries.withUnit.one,{ENTRIES} entry,{ENTRIES} entry,{ENTRIES} entrada,
TRUE,"Niklink, Cello",count.commentaryEntries.withUnit.two,,,,
TRUE,"Niklink, Cello",count.commentaryEntries.withUnit.few,,,,
TRUE,"Niklink, Cello",count.commentaryEntries.withUnit.many,,,,
TRUE,"Niklink, Cello",count.commentaryEntries.withUnit.other,{ENTRIES} entries,{ENTRIES} entries,{ENTRIES} entradas,
TRUE,"Niklink, Cello",count.contributions,{CONTRIBUTIONS},{CONTRIBUTIONS},{CONTRIBUTIONS},
TRUE,"Niklink, Cello",count.contributions.withUnit.zero,,,,
TRUE,"Niklink, Cello",count.contributions.withUnit.one,{CONTRIBUTIONS} contribution,{CONTRIBUTIONS} contribution,{CONTRIBUTIONS} contribución,
TRUE,"Niklink, Cello",count.contributions.withUnit.two,,,,
TRUE,"Niklink, Cello",count.contributions.withUnit.few,,,,
TRUE,"Niklink, Cello",count.contributions.withUnit.many,,,,
TRUE,"Niklink, Cello",count.contributions.withUnit.other,{CONTRIBUTIONS} contributions,{CONTRIBUTIONS} contributions,{CONTRIBUTIONS} contribuciones,
TRUE,"Niklink, Cello",count.coverArts,{COVER_ARTS},{COVER_ARTS},{COVER_ARTS},
TRUE,"Niklink, Cello",count.coverArts.withUnit.zero,,,,
TRUE,"Niklink, Cello",count.coverArts.withUnit.one,{COVER_ARTS} cover art,{COVER_ARTS} cover art,{COVER_ARTS} carátula,
TRUE,"Niklink, Cello",count.coverArts.withUnit.two,,,,
TRUE,"Niklink, Cello",count.coverArts.withUnit.few,,,,
TRUE,"Niklink, Cello",count.coverArts.withUnit.many,,,,
TRUE,"Niklink, Cello",count.coverArts.withUnit.other,{COVER_ARTS} cover arts,{COVER_ARTS} cover arts,{COVER_ARTS} carátulas,
FALSE,Cello,count.flashes,{FLASHES},{FLASHES},{FLASHES},
TRUE,,count.flashes.withUnit.zero,,,,
FALSE,Cello,count.flashes.withUnit.one,{FLASHES} flashes & games,{FLASHES} flashes & games,{FLASHES} animación y/o juego,
TRUE,,count.flashes.withUnit.two,,,,
TRUE,,count.flashes.withUnit.few,,,,
TRUE,,count.flashes.withUnit.many,,,,
FALSE,Cello,count.flashes.withUnit.other,{FLASHES} flashes & games,{FLASHES} flashes & games,{FLASHES} animaciónes y/o juegos,
