Reviewed?,Sign-off,String Key,Reference (English),Used Reference (English),String Value,Comments
FALSE,Nasado,meta.languageCode,en,en,ja,
FALSE,Nasado,meta.languageName,English,English,日本語,
FALSE,Nasado,count.additionalFiles,{FILES},{FILES},{FILES}個,
FALSE,,count.additionalFiles.withUnit.zero,,,,
FALSE,,count.additionalFiles.withUnit.one,{FILES} file,{FILES} file,,
FALSE,,count.additionalFiles.withUnit.two,,,,
FALSE,,count.additionalFiles.withUnit.few,,,,
FALSE,,count.additionalFiles.withUnit.many,,,,
FALSE,Nasado,count.additionalFiles.withUnit.other,{FILES} files,{FILES} files,{FILES}個のファイル,
FALSE,Nasado,count.albums,{ALBUMS},{ALBUMS},{ALBUMS}冊,
FALSE,,count.albums.withUnit.zero,,,,
FALSE,,count.albums.withUnit.one,{ALBUMS} album,{ALBUMS} album,,
FALSE,,count.albums.withUnit.two,,,,
FALSE,,count.albums.withUnit.few,,,,
FALSE,,count.albums.withUnit.many,,,,
FALSE,Nasado,count.albums.withUnit.other,{ALBUMS} albums,{ALBUMS} albums,{ALBUMS}冊のアルバム,
FALSE,Nasado,count.artworks,{ARTWORKS},{ARTWORKS},{ARTWORKS}点,
FALSE,,count.artworks.withUnit.zero,,,,
FALSE,,count.artworks.withUnit.one,{ARTWORKS} artwork,{ARTWORKS} artwork,,
FALSE,,count.artworks.withUnit.two,,,,
FALSE,,count.artworks.withUnit.few,,,,
FALSE,,count.artworks.withUnit.many,,,,
FALSE,Nasado,count.artworks.withUnit.other,{ARTWORKS} artworks,{ARTWORKS} artworks,{ARTWORKS}点のイラスト,
FALSE,,count.commentaryEntries,{ENTRIES},{ENTRIES},,
FALSE,,count.commentaryEntries.withUnit.zero,,,,
FALSE,,count.commentaryEntries.withUnit.one,{ENTRIES} entry,{ENTRIES} entry,,
FALSE,,count.commentaryEntries.withUnit.two,,,,
FALSE,,count.commentaryEntries.withUnit.few,,,,
FALSE,,count.commentaryEntries.withUnit.many,,,,
FALSE,,count.commentaryEntries.withUnit.other,{ENTRIES} entries,{ENTRIES} entries,,
FALSE,,count.contributions,{CONTRIBUTIONS},{CONTRIBUTIONS},,
FALSE,,count.contributions.withUnit.zero,,,,
FALSE,,count.contributions.withUnit.one,{CONTRIBUTIONS} contribution,{CONTRIBUTIONS} contribution,,
FALSE,,count.contributions.withUnit.two,,,,
FALSE,,count.contributions.withUnit.few,,,,
FALSE,,count.contributions.withUnit.many,,,,
FALSE,,count.contributions.withUnit.other,{CONTRIBUTIONS} contributions,{CONTRIBUTIONS} contributions,,
FALSE,Nasado,count.coverArts,{COVER_ARTS},{COVER_ARTS},{COVER_ARTS}点,
FALSE,,count.coverArts.withUnit.zero,,,,
FALSE,,count.coverArts.withUnit.one,{COVER_ARTS} cover art,{COVER_ARTS} cover art,,
FALSE,,count.coverArts.withUnit.two,,,,
FALSE,,count.coverArts.withUnit.few,,,,
FALSE,,count.coverArts.withUnit.many,,,,
FALSE,Nasado,count.coverArts.withUnit.other,{COVER_ARTS} cover arts,{COVER_ARTS} cover arts,{COVER_ARTS}点のイラスト,
FALSE,,count.flashes,{FLASHES},{FLASHES},,
FALSE,,count.flashes.withUnit.zero,,,,
FALSE,,count.flashes.withUnit.one,{FLASHES} flashes & games,{FLASHES} flashes & games,,
FALSE,,count.flashes.withUnit.two,,,,
FALSE,,count.flashes.withUnit.few,,,,
FALSE,,count.flashes.withUnit.many,,,,
FALSE,,count.flashes.withUnit.other,{FLASHES} flashes & games,{FLASHES} flashes & games,,
FALSE,,count.tracks,{TRACKS},{TRACKS},,
FALSE,,count.tracks.withUnit.zero,,,,
FALSE,,count.tracks.withUnit.one,{TRACKS} track,{TRACKS} track,,
FALSE,,count.tracks.withUnit.two,,,,
FALSE,,count.tracks.withUnit.few,,,,
FALSE,,count.tracks.withUnit.many,,,,
FALSE,,count.tracks.withUnit.other,{TRACKS} tracks,{TRACKS} tracks,,
FALSE,,count.days,{DAYS},{DAYS},,
FALSE,,count.days.withUnit.zero,,,,
FALSE,,count.days.withUnit.one,{DAYS} day,{DAYS} day,,
FALSE,,count.days.withUnit.two,,,,
FALSE,,count.days.withUnit.few,,,,
FALSE,,count.days.withUnit.many,,,,
FALSE,,count.days.withUnit.other,{DAYS} days,{DAYS} days,,
FALSE,,count.months,{MONTHS},{MONTHS},,
FALSE,,count.months.withUnit.zero,,,,
FALSE,,count.months.withUnit.one,{MONTHS} month,{MONTHS} month,,
FALSE,,count.months.withUnit.two,,,,
FALSE,,count.months.withUnit.few,,,,
FALSE,,count.months.withUnit.many,,,,
FALSE,,count.months.withUnit.other,{MONTHS} months,{MONTHS} months,,
FALSE,,count.timesReferenced,{TIMES_REFERENCED},{TIMES_REFERENCED},,
FALSE,,count.timesReferenced.withUnit.zero,,,,
FALSE,,count.timesReferenced.withUnit.one,{TIMES_REFERENCED} time referenced,{TIMES_REFERENCED} time referenced,,
FALSE,,count.timesReferenced.withUnit.two,,,,
FALSE,,count.timesReferenced.withUnit.few,,,,
FALSE,,count.timesReferenced.withUnit.many,,,,
FALSE,,count.timesReferenced.withUnit.other,{TIMES_REFERENCED} times referenced,{TIMES_REFERENCED} times referenced,,
FALSE,,count.timesUsed,{TIMES_USED},{TIMES_USED},,
FALSE,,count.timesUsed.withUnit.zero,,,,
FALSE,,count.timesUsed.withUnit.one,used {TIMES_USED} time,used {TIMES_USED} time,,
FALSE,,count.timesUsed.withUnit.two,,,,
FALSE,,count.timesUsed.withUnit.few,,,,
FALSE,,count.timesUsed.withUnit.many,,,,
FALSE,,count.timesUsed.withUnit.other,used {TIMES_USED} times,used {TIMES_USED} times,,
FALSE,,count.weeks,{WEEKS},{WEEKS},,
FALSE,,count.weeks.withUnit.zero,,,,
FALSE,,count.weeks.withUnit.one,{WEEKS} week,{WEEKS} week,,
FALSE,,count.weeks.withUnit.two,,,,
FALSE,,count.weeks.withUnit.few,,,,
FALSE,,count.weeks.withUnit.many,,,,
FALSE,,count.weeks.withUnit.other,{WEEKS} weeks,{WEEKS} weeks,,
FALSE,,count.words,{WORDS},{WORDS},,
FALSE,,count.words.thousand,{WORDS}k,{WORDS}k,,
FALSE,,count.words.withUnit.zero,,,,
FALSE,,count.words.withUnit.one,{WORDS} word,{WORDS} word,,
FALSE,,count.words.withUnit.two,,,,
FALSE,,count.words.withUnit.few,,,,
FALSE,,count.words.withUnit.many,,,,
FALSE,,count.words.withUnit.other,{WORDS} words,{WORDS} words,,
FALSE,,count.years,{YEARS},{YEARS},,
FALSE,,count.years.withUnit.zero,,,,
FALSE,,count.years.withUnit.one,{YEARS} year,{YEARS} year,,
FALSE,,count.years.withUnit.two,,,,
FALSE,,count.years.withUnit.few,,,,
FALSE,,count.years.withUnit.many,,,,
FALSE,,count.years.withUnit.other,{YEARS} years,{YEARS} years,,
FALSE,,count.duration.missing,_:__,_:__,,
FALSE,,count.duration.approximate,~{DURATION},~{DURATION},,
FALSE,,count.duration.hours,{HOURS}:{MINUTES}:{SECONDS},{HOURS}:{MINUTES}:{SECONDS},,
FALSE,,count.duration.hours.withUnit,{HOURS}:{MINUTES}:{SECONDS} hours,{HOURS}:{MINUTES}:{SECONDS} hours,,
FALSE,,count.duration.minutes,{MINUTES}:{SECONDS},{MINUTES}:{SECONDS},,
