Reviewed?,Sign-off,String Key,Reference (English),Used Reference (English),String Value,Comments
FALSE,ruby,meta.languageCode,en,en,nl,
FALSE,ruby,meta.languageName,English,English,Nederlands,
FALSE,,count.additionalFiles,{FILES},{FILES},,
FALSE,,count.additionalFiles.withUnit.zero,,,,
FALSE,ruby,count.additionalFiles.withUnit.one,{FILES} file,{FILES} file,{FILES} bestand,
FALSE,,count.additionalFiles.withUnit.two,,,,
FALSE,,count.additionalFiles.withUnit.few,,,,
FALSE,,count.additionalFiles.withUnit.many,,,,
FALSE,ruby,count.additionalFiles.withUnit.other,{FILES} files,{FILES} files,{FILES} bestanden,
FALSE,,count.albums,{ALBUMS},{ALBUMS},,
FALSE,,count.albums.withUnit.zero,,,,
FALSE,ruby,count.albums.withUnit.one,{ALBUMS} album,{ALBUMS} album,{ALBUMS} album,
FALSE,,count.albums.withUnit.two,,,,
FALSE,,count.albums.withUnit.few,,,,
FALSE,,count.albums.withUnit.many,,,,
FALSE,ruby,count.albums.withUnit.other,{ALBUMS} albums,{ALBUMS} albums,{ALBUMS} albums,
FALSE,,count.artworks,{ARTWORKS},{ARTWORKS},,
FALSE,,count.artworks.withUnit.zero,,,,
FALSE,,count.artworks.withUnit.one,{ARTWORKS} artwork,{ARTWORKS} artwork,,
FALSE,,count.artworks.withUnit.two,,,,
FALSE,,count.artworks.withUnit.few,,,,
FALSE,,count.artworks.withUnit.many,,,,
FALSE,,count.artworks.withUnit.other,{ARTWORKS} artworks,{ARTWORKS} artworks,,
FALSE,,count.commentaryEntries,{ENTRIES},{ENTRIES},,
FALSE,,count.commentaryEntries.withUnit.zero,,,,
FALSE,,count.commentaryEntries.withUnit.one,{ENTRIES} entry,{ENTRIES} entry,,
FALSE,,count.commentaryEntries.withUnit.two,,,,
FALSE,,count.commentaryEntries.withUnit.few,,,,
FALSE,,count.commentaryEntries.withUnit.many,,,,
FALSE,,count.commentaryEntries.withUnit.other,{ENTRIES} entries,{ENTRIES} entries,,
FALSE,,count.contributions,{CONTRIBUTIONS},{CONTRIBUTIONS},,
FALSE,,count.contributions.withUnit.zero,,,,
FALSE,ruby,count.contributions.withUnit.one,{CONTRIBUTIONS} contribution,{CONTRIBUTIONS} contribution,{CONTRIBUTIONS} bijdrage,
FALSE,,count.contributions.withUnit.two,,,,
FALSE,,count.contributions.withUnit.few,,,,
FALSE,,count.contributions.withUnit.many,,,,
FALSE,ruby,count.contributions.withUnit.other,{CONTRIBUTIONS} contributions,{CONTRIBUTIONS} contributions,{CONTRIBUTIONS} bijdragen,
FALSE,,count.coverArts,{COVER_ARTS},{COVER_ARTS},,
FALSE,,count.coverArts.withUnit.zero,,,,
FALSE,,count.coverArts.withUnit.one,{COVER_ARTS} cover art,{COVER_ARTS} cover art,,
FALSE,,count.coverArts.withUnit.two,,,,
FALSE,,count.coverArts.withUnit.few,,,,
FALSE,,count.coverArts.withUnit.many,,,,
FALSE,,count.coverArts.withUnit.other,{COVER_ARTS} cover arts,{COVER_ARTS} cover arts,,
FALSE,,count.flashes,{FLASHES},{FLASHES},,
