Reviewed?,Sign-off,String Key,Current Reference (English),Used Reference (English),String Value,Comments
FALSE,Lanolin,meta.languageCode,en,en,ru,
FALSE,Lanolin,meta.languageName,English,English,Русский,
FALSE,,count.additionalFiles,{FILES},{FILES},,
FALSE,,count.additionalFiles.withUnit.zero,,,,
FALSE,Jebb,count.additionalFiles.withUnit.one,{FILES} file,{FILES} file,{FILES} файл,
FALSE,,count.additionalFiles.withUnit.two,,,,
FALSE,,count.additionalFiles.withUnit.few,,,,
FALSE,,count.additionalFiles.withUnit.many,,,,
FALSE,Jebb,count.additionalFiles.withUnit.other,{FILES} files,{FILES} files,{FILES} файлов,
FALSE,,count.albums,{ALBUMS},{ALBUMS},,
FALSE,,count.albums.withUnit.zero,,,,
FALSE,Jebb,count.albums.withUnit.one,{ALBUMS} album,{ALBUMS} album,{ALBUMS} альбом,
FALSE,,count.albums.withUnit.two,,,,
FALSE,,count.albums.withUnit.few,,,,
FALSE,,count.albums.withUnit.many,,,,
FALSE,Jebb,count.albums.withUnit.other,{ALBUMS} albums,{ALBUMS} albums,{ALBUMS} альбомов,
FALSE,,count.artworks,{ARTWORKS},{ARTWORKS},{ARTWORKS},
FALSE,,count.artworks.withUnit.zero,,,,
FALSE,Jebb,count.artworks.withUnit.one,{ARTWORKS} artwork,{ARTWORKS} artwork,{ARTWORKS} иллюстрация,
FALSE,,count.artworks.withUnit.two,,,,
FALSE,,count.artworks.withUnit.few,,,,
FALSE,,count.artworks.withUnit.many,,,,
FALSE,Jebb,count.artworks.withUnit.other,{ARTWORKS} artworks,{ARTWORKS} artworks,{ARTWORKS} иллюстраций,
FALSE,,count.commentaryEntries,{ENTRIES},{ENTRIES},{ENTRIES},
FALSE,,count.commentaryEntries.withUnit.zero,,,,
FALSE,,count.commentaryEntries.withUnit.one,{ENTRIES} entry,{ENTRIES} entry,,
FALSE,,count.commentaryEntries.withUnit.two,,,,
FALSE,,count.commentaryEntries.withUnit.few,,,,
FALSE,,count.commentaryEntries.withUnit.many,,,,
FALSE,,count.commentaryEntries.withUnit.other,{ENTRIES} entries,{ENTRIES} entries,,
FALSE,,count.contributions,{CONTRIBUTIONS},{CONTRIBUTIONS},{CONTRIBUTIONS},
FALSE,,count.contributions.withUnit.zero,,,,
FALSE,Jebb,count.contributions.withUnit.one,{CONTRIBUTIONS} contribution,{CONTRIBUTIONS} contribution,{CONTRIBUTIONS} контрибуция,
FALSE,,count.contributions.withUnit.two,,,,
FALSE,,count.contributions.withUnit.few,,,,
FALSE,,count.contributions.withUnit.many,,,,
FALSE,Jebb,count.contributions.withUnit.other,{CONTRIBUTIONS} contributions,{CONTRIBUTIONS} contributions,{CONTRIBUTIONS} контрибуций,
FALSE,,count.coverArts,{COVER_ARTS},{COVER_ARTS},{COVER_ARTS},
FALSE,,count.coverArts.withUnit.zero,,,,
FALSE,,count.coverArts.withUnit.one,{COVER_ARTS} cover art,{COVER_ARTS} cover art,,
FALSE,,count.coverArts.withUnit.two,,,,
FALSE,,count.coverArts.withUnit.few,,,,
FALSE,,count.coverArts.withUnit.many,,,,
FALSE,,count.coverArts.withUnit.other,{COVER_ARTS} cover arts,{COVER_ARTS} cover arts,,
FALSE,,count.flashes,{FLASHES},{FLASHES},{FLASHES},
FALSE,,count.flashes.withUnit.zero,,,,
FALSE,Jebb,count.flashes.withUnit.one,{FLASHES} flashes & games,{FLASHES} flashes & games,{FLASHES} флэшей и игр,
FALSE,,count.flashes.withUnit.two,,,,
FALSE,,count.flashes.withUnit.few,,,,
FALSE,,count.flashes.withUnit.many,,,,
